Name,Price,Vendor,Brand,Capacity,Type
Western Digital Caviar Blue,5700,Kazi & Qazi Brothers,Western Digital,1000,HDD
Seagate Barracuda,12000,Kazi & Qazi Brothers,Seagate,2000,HDD
Seagate IronWolf Pro,90000,Kazi & Qazi Brothers,Seagate,16000,HDD
Hitachi Ultrastar,4950,Kazi & Qazi Brothers,Hitachi,1000,HDD
Samsung 860 Evo,8550,Altoo Tech Point,Samsung,500,SSD
Samsung 970 Evo,12000,Altoo Tech Point,Samsung,500,SSD
Kingston A400,7950,Altoo Tech Point,Kingston,480,SSD
ADATA SU635,4350,Altoo Tech Point,ADATA,240,SSD
Samsung 860 QVO,73500,Altoo Tech Point,Samsung,4000,SSD
Corsair MP510,6000,Altoo Tech Point,Corsair,240,SSD
